run,equation,complexity,train,test,skeleton,loo_r2
1,P,1,0.0948482419648555,-0.0802892443496525,P,0.26041981024019667
1,exp(H),2,0.1288790769310797,0.1893594141270151,exp(H),-0.08696310469733448
1,exp(inv(D)),3,0.2894954175687422,0.2179267439793214,exp(inv(D)),0.5247865150508889
1,exp(inv(D)) - 0.37311482,4,0.3022470436490265,0.1946278443260846,exp(inv(D)) - C,0.5200830544845594
1,exp(-D + H) + 0.87914354,4,0.3145110538188764,0.2108651537045962,exp(-D + H) + C,0.5391499349429449
1,"-cond(H - 0.4993983, P) + exp(H)",6,0.3177727587687693,0.2079753675379559,"-cond(H - C, P) + exp(H)",0.49527836607398545
1,"-cond(D - 1.4722838, H) + exp(inv(D))",7,0.3239291410497729,0.1026983898542426,"-cond(D - C, H) + exp(inv(D))",0.5135693694386242
1,"D - cond(D - 1.2401365, 2.4808478) + exp(inv(D))",8,0.3377671445142501,0.1505522620925237,"D - cond(D - C, C) + exp(inv(D))",0.5629756210185444
1,"cond(1.2691101 - D, 1.8325739) + exp(-D + H) + log(D)",9,0.3472496014195776,0.1855781547179322,"cond(C - D, C) + exp(-D + H) + log(D)",0.5671870453825147
1,"D + cond(1.2758772 - D, 1.9998541) + exp(-D + H) - 1.2289703",9,0.3528899845175992,0.1730526387178415,"D + cond(C - D, C) + exp(-D + H) - C",0.5589115979042988
1,"-H + cond(D - 1.324735, -2.2369385) + 0.7735479*exp(H) + exp(inv(P))",11,0.3559738327009774,0.1604229836164781,"-H + cond(D - C, C) + C*exp(H) + exp(inv(P))",0.5833667239989172
1,"-cond(3.0383286 - Sl, -0.54479235)*exp(H) + cond(D - 1.2627459, -2.4839432) + exp(inv(P))",13,0.3779225797993192,0.1832785272633232,"-cond(C - Sl, C)*exp(H) + cond(D - C, C) + exp(inv(P))",0.5542693340907866
2,P,1,0.1466433983155138,0.13436647154454,P,0.26041981024019667
2,exp(inv(D)),3,0.2077641032168689,0.1606073073063249,exp(inv(D)),0.5247865150508889
2,13.0940051064135*exp(-D),3,0.2719138186352566,0.2389499633366043,C*exp(-D),0.4704438517837115
2,exp(inv(D - 0.20666066)),4,0.2942789083350214,0.2246968367418477,exp(inv(D - C)),0.5250619481688401
2,exp(1.9855175*H - P),4,0.297237061067222,0.1710291503949169,exp(C*H - P),0.5153487375504138
2,exp(inv(0.67254865*D)) - 0.51260495,5,0.3023949475192676,0.2503430794368082,exp(inv(C*D)) - C,0.5353165642614379
2,exp(1.9542416*H - P) + 0.30002055,5,0.307594170462089,0.2079589397383924,exp(C*H - P) + C,0.5240324843011375
2,inv(D) + exp(1.8860252*H - P),6,0.314445336896177,0.2322970880704522,inv(D) + exp(C*H - P),0.5544881222700827
2,1.8978825**H - P + exp(inv(D)),7,0.3166753069388724,0.2456039496799256,C**H - P + exp(inv(D)),0.5672405077294851
2,"cond(1.4820652 - Sl, Sl) + exp(1.9434708*H - P)",8,0.334989592018529,0.1516793902683496,"cond(C - Sl, Sl) + exp(C*H - P)",0.476404275770714
2,"cond(1.4945037 - Sl, 1.0152842) + 0.600055636838983*exp(2.1292048*H - P)",9,0.341087141862869,0.1594277132489402,"cond(C - Sl, C) + C*exp(C*H - P)",0.5163680429886202
2,"cond(1.4937155 - Sl, 1.0617429) + exp(2.0449371*H - P - inv(P))",10,0.3417458981639013,0.1639854271925509,"cond(C - Sl, C) + exp(C*H - P - inv(P))",0.5309374793152666
2,"cond(1.5128548 - Sl, 1.0297201) + exp(-0.21163288*D + 2.0187898*H - P)",10,0.346819789203374,0.1890135938063447,"cond(C - Sl, C) + exp(C*D + C*H - P)",0.5495556874996856
2,"cond(1.4945037 - Sl, Sl) + cond(P - 1.7359707, 0.9418834)*exp(1.9720327*H - P)",12,0.3630872091573682,-0.7073433239282951,"cond(C - Sl, Sl) + cond(P - C, C)*exp(C*H - P)",0.11384163667457714
3,P,1,0.153842601926664,0.1067281178403496,P,0.26041981024019667
3,exp(inv(D)),3,0.2726901735574067,0.2803258726765626,exp(inv(D)),0.5247865150508889
3,0.48778528*exp(H),3,0.2787517137318126,0.1709303966615891,C*exp(H),0.4852400014921907
3,-H + exp(0.85225415*H),4,0.2937219033849436,0.1819708686583614,-H + exp(C*H),0.5159323665921788
3,-H*(D - H) + 1.7392446,4,0.3234010546153995,0.227128982972292,-H*(D - H) + C,0.5887066420613134
3,"-cond(D - 0.8180083, H) + exp(0.7594387*H)",7,0.3306342935088039,0.2136723612607142,"-cond(D - C, H) + exp(C*H)",0.5905589590910048
3,"-(D - H)*cond(P - Sl, H) + 1.7804633",7,0.3403234077826791,0.2311148675759207,"-(D - H)*cond(P - Sl, H) + C",0.575281094982987
3,"2.5135787*H - cond(D - 0.8185357, 2.734583) + inv(H)",8,0.3534453953804528,-0.560093178711651,"C*H - cond(D - C, C) + inv(H)",0.3704815778543633
3,"3.3717346*H - cond(D - 0.81425655, P) + inv(H) - 1.4521601",9,0.3568665087980911,-0.5229681443435197,"C*H - cond(D - C, P) + inv(H) - C",0.3888253181502975
3,"2.6200764*cond(3.5388904 - Sl, H) - cond(D - 0.8185357, 2.8411555) + inv(H)",11,0.3781358874700203,-0.560016998073126,"C*cond(C - Sl, H) - cond(D - C, C) + inv(H)",0.41459393184363946
3,"2.62004947190179*cond(3.5388904 - Sl, H) - cond(D - 0.8171856, 2.8411953) + inv(H)",11,0.3781358889732844,-0.5600281587405229,"C*cond(C - Sl, H) - cond(D - C, C) + inv(H)",0.41459393184363946
3,"2.9068244*cond(3.5388904 - Sl, H) - cond(D - 0.8185357, 4.8831706 - D) + inv(H)",12,0.3810347743908252,-0.6813003646496791,"C*cond(C - Sl, H) - cond(D - C, C - D) + inv(H)",0.35878856884637045
4,P,1,0.114688140007175,0.2244279552675411,P,0.26041981024019667
4,exp(inv(D)),3,0.2592338121321157,0.3324208332281686,exp(inv(D)),0.5247865150508889
4,exp(inv(D)) - 0.36045513,4,0.2714014196836081,0.3344825758272668,exp(inv(D)) - C,0.5200830544845594
4,-P + inv(0.17819919*D),4,0.2993400958131091,0.2661491086217771,-P + inv(C*D),0.5483263660820568
4,-0.9255303*P + 5.39040924890415*inv(D),5,0.2996526407269217,0.2695526571884701,C*P + C*inv(D),0.539351989406485
4,"-cond(T - 7.3734784, H) + inv(0.23600267*D)",7,0.3129893427581677,0.2704635505977185,"-cond(T - C, H) + inv(C*D)",0.5358130596134576
4,"-cond(T - 7.3775644, P) + 6.8210263*inv(D + 0.31760946)",8,0.3317058503460263,0.2869124366435527,"-cond(T - C, P) + C*inv(D + C)",0.4198906199089527
4,"-cond(T - 7.371427, P + 1.2199482) + 11.719606*inv(D + 0.8412856)",9,0.3360170274274237,0.2837290981007947,"-cond(T - C, P + C) + C*inv(D + C)",0.5301718932384134
4,"(H + 5.5639677)*inv(D + 0.14692436*P) - cond(T - 7.375762, P)",10,0.3382039976039102,0.2988242064243762,"(H + C)*inv(D + C*P) - cond(T - C, P)",0.40188729531175604
4,"(cond(P - Sl, H) + 6.239149)*inv(D + 0.5180003) - cond(T - 7.373118, P)",12,0.3494104799937966,0.324546450661344,"(cond(P - Sl, H) + C)*inv(D + C) - cond(T - C, P)",0.43130493773458034
5,P,1,0.1118119101400583,0.2529961872269342,P,0.26041981024019667
5,exp(inv(D)),3,0.263183801642302,0.331137932295283,exp(inv(D)),0.5247865150508889
5,exp(inv(D)) - 0.29568732,4,0.270358810439788,0.3773966731722167,exp(inv(D)) - C,0.5200830544845594
5,(2.7500129 - D)**H,4,0.2826146720344149,0.3285095103679102,(C - D)**H,0.5417773112709949
5,-H*(D - H) + 1.7885598,4,0.3030603855565086,0.3173508864858468,-H*(D - H) + C,0.5887066420613134
5,"H*cond(1.1586809 - D, H) + 1.2110076",6,0.3092567066963884,0.2598951298230804,"H*cond(C - D, H) + C",0.49956511929040837
5,"-H*(D - cond(Sl - 0.06325394, H)) + 1.790182",7,0.325346803157566,0.3171019802761814,"-H*(D - cond(Sl - C, H)) + C",0.5887066420613134
5,"cond(1.1713265 - D, H)*cond(2.8090599 - Sl, H) + 1.2367878",9,0.3333648968373545,0.2576344920363543,"cond(C - D, H)*cond(C - Sl, H) + C",0.4250870367088354
5,"D - H*(cond(D - 1.1828753, D) - cond(Sl - 0.064396106, H))",10,0.3472715531730235,0.2807082951999713,"D - H*(cond(D - C, D) - cond(Sl - C, H))",0.6106585632048556
5,"cond(1.2530972 - D, H)*cond(Sl - 0.060070626, H) + cond(1.5086797 - Sl, 1.278856)",12,0.3483501290479489,0.2893876055081851,"cond(C - D, H)*cond(Sl - C, H) + cond(C - Sl, C)",-1.7263814890192228
5,"D + (H - cond(D - 1.2539505, Sl + 0.7863801))*cond(Sl - 0.060372736, H)",11,0.3554121012174706,0.2644772459307064,"D + (H - cond(D - C, Sl + C))*cond(Sl - C, H)",-0.1851526059563704
5,"-(cond(D - 0.7613692, D) - cond(Sl - 0.14605492, H))*cond(2.5957928 - Sl, H) + 1.8183424",13,0.3675317656592068,0.3060151241922473,"-(cond(D - C, D) - cond(Sl - C, H))*cond(C - Sl, H) + C",0.5752593081323504
